geoid2,geodisplaylabel,pop16over,White,Black,NativeIndian,Asian,Hispanic
15005,"Kalawao County, Hawaii",84,32,,,19,4
48301,"Loving County, Texas",111,58,,20,,38
02282,"Yakutat City and Borough, Alaska",509,221,9,159,42,5
48269,"King County, Texas",242,236,,,,51
02164,"Lake and Peninsula Borough, Alaska",1080,270,5,702,44,17
46017,"Buffalo County, South Dakota",1366,274,4,1052,,7
02158,"Kusilvak Census Area, Alaska",5050,297,14,4402,27,56
31005,"Arthur County, Nebraska",321,319,,,,
31117,"McPherson County, Nebraska",352,348,,,,2
48261,"Kenedy County, Texas",377,368,,,1,283
30069,"Petroleum County, Montana",384,384,,,,
28055,"Issaquena County, Mississippi",1128,385,736,,,7
31009,"Blaine County, Nebraska",430,424,,,2,
31115,"Loup County, Nebraska",454,435,,8,,
35021,"Harding County, New Mexico",482,444,,1,1,204
02060,"Bristol Bay Borough, Alaska",766,447,5,222,7,38
55078,"Menominee County, Wisconsin",3204,468,14,2610,56,137
38085,"Sioux County, North Dakota",2889,484,2,2303,7,49
48033,"Borden County, Texas",518,493,,21,,39
08111,"San Juan County, Colorado",545,520,,3,,102
31171,"Thomas County, Nebraska",555,529,,2,16,4
38087,"Slope County, North Dakota",553,537,4,,,2
46137,"Ziebach County, South Dakota",1919,544,6,1338,13,37
31091,"Hooker County, Nebraska",579,562,6,4,,27
48443,"Terrell County, Texas",772,564,15,7,17,496
48311,"McMullen County, Texas",614,574,,12,,257
31103,"Keya Paha County, Nebraska",599,588,1,,4,
49009,"Daggett County, Utah",618,598,,8,,17
48263,"Kent County, Texas",668,607,3,9,,100
13265,"Taliaferro County, Georgia",1511,608,889,,9,14
30103,"Treasure County, Montana",691,619,,9,11,50
30037,"Golden Valley County, Montana",634,625,,,,4
31113,"Logan County, Nebraska",650,630,2,2,,11
16033,"Clark County, Idaho",670,632,,,,273
08079,"Mineral County, Colorado",679,634,6,,,49
31075,"Grant County, Nebraska",636,636,,,,41
46075,"Jones County, South Dakota",676,643,6,27,,2
46095,"Mellette County, South Dakota",1433,645,,740,,46
02013,"Aleutians East Borough, Alaska",2940,659,304,738,991,358
02230,"Skagway Municipality, Alaska",862,661,,59,106,43
48393,"Roberts County, Texas",680,667,,1,5,12
06003,"Alpine County, California",932,674,,156,14,80
31007,"Banner County, Nebraska",692,686,,,1,13
46102,"Oglala Lakota County, South Dakota",9614,700,58,8725,,88
31183,"Wheeler County, Nebraska",731,731,,,,
08053,"Hinsdale County, Colorado",756,744,,,,11
38007,"Billings County, North Dakota",817,762,8,5,29,16
02070,"Dillingham Census Area, Alaska",3569,765,17,2523,58,74
16025,"Camas County, Idaho",821,783,,10,,66
02188,"Northwest Arctic Borough, Alaska",5247,803,25,4160,56,89
48173,"Glasscock County, Texas",879,807,,,,264
46121,"Todd County, South Dakota",6238,808,29,4469,46,146
28063,"Jefferson County, Mississippi",6013,821,5183,,9,8
32009,"Esmeralda County, Nevada",949,831,,42,,140
30033,"Garfield County, Montana",856,831,,22,,6
30109,"Wibaux County, Montana",835,835,,,,5
48345,"Motley County, Texas",891,844,13,1,,134
13061,"Clay County, Georgia",2383,866,1387,,,75
20071,"Greeley County, Kansas",979,896,11,,4,163
48155,"Foard County, Texas",983,904,26,,7,96
31085,"Hayes County, Nebraska",915,905,1,,,72
48431,"Sterling County, Texas",990,928,3,,,396
48101,"Cottle County, Texas",1162,934,140,18,,255
02105,"Hoonah-Angoon Census Area, Alaska",1785,945,42,580,56,32
13307,"Webster County, Georgia",2165,963,1197,,,5
46007,"Bennett County, South Dakota",2397,966,22,1110,,72
48433,"Stonewall County, Texas",1053,970,51,,,139
13239,"Quitman County, Georgia",1937,996,914,6,9,
30011,"Carter County, Montana",1020,1009,,3,,7
31165,"Sioux County, Nebraska",1037,1010,,,3,38
46041,"Dewey County, South Dakota",3805,1017,2,2720,,9
46063,"Harding County, South Dakota",1065,1021,9,9,9,12
46031,"Corson County, South Dakota",2868,1022,12,1789,12,11
46069,"Hyde County, South Dakota",1151,1049,,72,,
02290,"Yukon-Koyukuk Census Area, Alaska",4223,1061,7,2942,14,61
28021,"Claiborne County, Mississippi",7474,1067,6301,15,51,101
08061,"Kiowa County, Colorado",1150,1071,12,5,,45
08057,"Jackson County, Colorado",1139,1077,1,5,,131
30079,"Prairie County, Montana",1111,1085,,8,,11
28125,"Sharkey County, Mississippi",3721,1109,2594,,10,24
38083,"Sheridan County, North Dakota",1149,1136,,6,,3
31149,"Rock County, Nebraska",1193,1139,10,,3,3
46119,"Sully County, South Dakota",1170,1149,,9,,9
41069,"Wheeler County, Oregon",1206,1165,,7,5,19
48235,"Irion County, Texas",1294,1184,,,,290
46071,"Jackson County, South Dakota",2342,1185,5,1035,16,66
46021,"Campbell County, South Dakota",1241,1211,,23,3,3
48045,"Briscoe County, Texas",1304,1217,39,1,,390
20199,"Wallace County, Kansas",1229,1224,,3,1,44
48447,"Throckmorton County, Texas",1276,1231,3,,8,155
20187,"Stanton County, Kansas",1571,1249,22,11,12,476
32011,"Eureka County, Nevada",1332,1283,2,25,,17
01063,"Greene County, Alabama",6858,1297,5490,7,14,4
35011,"De Baca County, New Mexico",1676,1336,,,3,696
20101,"Lane County, Kansas",1364,1336,6,5,,57
48359,"Oldham County, Texas",1543,1355,134,11,8,228
38065,"Oliver County, North Dakota",1451,1376,,47,3,34
30055,"McCone County, Montana",1437,1389,,16,6,26
41055,"Sherman County, Oregon",1493,1396,10,49,4,79
38033,"Golden Valley County, North Dakota",1424,1415,,4,,35
13007,"Baker County, Georgia",2720,1423,1245,8,11,55
30075,"Powder River County, Montana",1473,1425,,22,,14
08033,"Dolores County, Colorado",1477,1448,,12,,71
