,GEOID,stateID,countyID,population_size,age2034,age65up,black,hispanic,asian,white,pct_college_degree_higher,pct_college_grad_student,hhincome,pct_male,pct_female,poverty,mean_commute_time,pct_english_only,pct_foreign_born,median_rent
0,25001010100,25,1,2952,3,28.9,1.7,2952,1.6,87.6,48.8,47.4,47500,53.3,46.7,10.7,13.9,88.5,9.2,1120
1,25001010206,25,1,3171,8.2,38.1,2.2,3171,3.4,90.8,52.6,27.5,59042,44.3,55.7,11.3,22.6,95.3,7.8,1027
2,25001010208,25,1,1580,2.1,37.3,1.3,1580,0,97.2,45.9,9.5,62844,50.4,49.6,11.2,16.8,93.6,9.6,1019
3,25001010304,25,1,2332,7.7,43.4,0.9,2332,4.8,93.4,51.2,30.2,71250,44.2,55.8,4.8,23.5,93.7,7,980
4,25001010306,25,1,2576,4.4,33.2,3.5,2576,0.5,90.7,45.1,10.2,55694,47.7,52.3,8.2,17.8,96.9,5,1176
5,25001010400,25,1,3037,2.6,35.2,6.4,3037,0.9,90,49.2,8.5,48442,44.1,55.9,6.3,19.3,90.9,9.4,1198
6,25001010500,25,1,2790,2.3,42.9,0.2,2790,0,98.7,62.3,3,76087,47.1,52.9,8.2,15.9,96.7,4.1,426
7,25001010600,25,1,3091,5.5,41.8,2.8,3091,0.6,88.9,57.2,34.9,73625,46.8,53.2,7.8,18.7,92.6,5.9,1049
8,25001010700,25,1,3058,2.5,37,2,3058,0.6,94.4,53.7,21.8,77083,49.5,50.5,11.2,27.3,96.5,5.7,1264
9,25001010800,25,1,4734,2.1,32.2,0.8,4734,0,98.1,62.9,15.8,69846,47,53,5,23.7,98.1,2.2,
10,25001010900,25,1,5122,4.5,28.9,0.5,5122,1.2,94,43.4,21.5,69248,47.8,52.2,4.6,24.1,96,4.3,982
11,25001011002,25,1,4061,5.5,29.1,0.6,4061,0,92.3,40.2,21,67756,47.1,52.9,5.1,23.2,96,4.5,1191
12,25001011100,25,1,4642,5.6,29.8,0.3,4642,3,95.3,49.2,22.9,82148,50.1,49.9,5.5,18,97.4,3.5,1205
13,25001011200,25,1,3440,4.1,39.1,5.8,3440,0,90.2,55.1,31,68603,46.2,53.8,10,20.8,94.6,8.6,1224
14,25001011300,25,1,2483,1.9,55.3,0,2483,1.4,98.6,51.2,43.1,70054,47.8,52.2,5.8,35.4,94.7,3.4,1068
15,25001011400,25,1,3071,3.5,46.9,0,3071,1.9,93.6,43.8,41.4,61422,44.8,55.2,12,20.3,89.9,4.7,1283 (USD)
16,25001011500,25,1,3945,4.6,31.1,7.8,3945,2.8,86,27.9,14.3,48911,45.1,54.9,13.1,20.9,90.4,9.1,1158
17,25001011600,25,1,2761,2.5,25.6,6.8,2761,0,86.3,32.3,43.9,45225,47.2,52.8,13.3,22.2,88.6,10.9,1011
18,25001011700,25,1,1732,4.6,40,1.3,1732,0.5,89.7,47.3,22.3,67543,49.2,50.8,7.6,24,92.1,5.7,1049 (USD)
19,25001011801,25,1,2411,1.7,55.2,0,2411,6.6,93,55.6,1.7,68882,42.8,57.2,3.2,25.5,92.6,6.1,1019
20,25001011802,25,1,3993,4.8,29.6,1,3993,1.2,94.2,41,22.1,66607,43.6,56.4,7.9,23.2,92.5,4.8,1536
21,25001012001,25,1,5763,4.2,31.6,0.1,5763,0.5,97.6,29.3,26.2,58345,43.4,56.6,6.2,23.5,87.7,9.8,1364
22,25001012002,25,1,2895,9.5,27.5,1.1,2895,1.8,87.9,28.2,28,47484,45.6,54.4,13.7,19.3,87,8.8,965 (USD)
23,25001012101,25,1,5412,7.7,21.4,5.1,5412,1.2,89.5,27.7,37.1,73237,49.1,50.9,3.8,20.3,92.8,7.7,1413
24,25001012102,25,1,2985,3.7,27.9,3.4,2985,4.3,87.1,35.6,38.1,65194,45.5,54.5,8.5,24.6,90.2,7.3,1087
25,25001012200,25,1,4933,5.9,29.8,2.2,4933,0.5,95.6,49.8,28.5,99846,48.2,51.8,5.3,25.7,91.3,6.8,1417
