fips,state,year,CountyNameStateAbbreviation,edu_bacherate,unemprate,povertyrate,age25to44,age45to64,Total Population,Population Density sqmile,perc_white,perc_hisp,perc_minor,perc_female,Female_Employed,foreign_pop,perc_femaleemp,raceedu_gap,race_homeowngap,poverty_white,poverty_minority,race_povertygap,z_perc_minor,z_raceedu_gap,z_race_homeowngap,z_race_povertygap,inclu_index
13159,GA,2015,"Jasper County, GA",11.812768,5.5,0.17399999,0.23051688,0.29197347,13593,36.92101,0.738836166,0.039799897,0.261163834,0.510189068,2591,443,0.190612815,0.578091928,0.098105872,1776,1009,0.107385762,0.575823882,0.530018814,0.620170725,0.066740971,0.448188598
41067,OR,2015,"Washington County, OR",41.899132,4.7,0.105,0.30364561,0.25278383,556210,767.7353,0.775732187,0.161532515,0.224267813,0.507842362,126470,94006,0.227378149,0.646886192,0.14289494,43178,21683,0.07375371,0.354077977,0.296808144,0.340604626,0.365099567,0.339147579
51177,VA,2015,"Spotsylvania County, VA",30.371456,4.6,0.077,0.2541759,0.27751631,127691,318.0394,0.742566038,0.083122538,0.257433962,0.508641956,29472,8928,0.230807183,0.56384956,0.182424285,6020,4376,0.069633029,0.553407265,0.57830005,0.093868859,0.401655186,0.40680784
22087,LA,2015,"St. Bernard Parish, LA",13.555163,6.6,0.204,0.29756376,0.24527389,42858,113.5285,0.722128891,0.096434738,0.277871109,0.503056606,7804,2275,0.182089692,0.572725394,0.245920466,5008,3201,0.106973713,0.676234973,0.548211215,-0.302464008,0.070396366,0.248094637
44003,RI,2015,"Kent County, RI",32.609238,5.5,0.086999997,0.24789301,0.30976549,164958,978.7492,0.92544769,0.039701015,0.07455231,0.51714982,42013,10155,0.254689072,0.878656205,0.183031266,12641,1122,0.008429421,-0.545715493,-0.48888585,0.090080186,0.944608148,2.17E-05
12117,FL,2015,"Seminole County, FL",37.223618,4.9,0.115,0.27673155,0.27685401,437346,1413.169,0.796095083,0.187579171,0.203904917,0.516296022,101818,52332,0.232808806,0.660901668,0.151869788,35988,16649,0.083332525,0.231696528,0.249296062,0.284585076,0.280123434,0.261425275
9007,CT,2015,"Middlesex County, CT",42.976635,5,0.067000002,0.22117558,0.31873327,165165,447.2339,0.889879817,0.055598947,0.110120183,0.510465292,42484,12331,0.257221566,0.832189322,0.309263572,8310,2400,0.075415677,-0.331951795,-0.33136439,-0.697841405,0.350355831,-0.25270044
42005,PA,2015,"Armstrong County, PA",16.7141,6.6,0.126,0.21916924,0.30890784,67979,104.0703,0.977537181,0.006546139,0.022462819,0.502993572,13778,354,0.202680239,0.96712199,0.203216527,8331,407,0.141167004,-0.858774482,-0.788782437,-0.035912945,-0.232941117,-0.479102745
51630,VA,2015,"Fredericksburg city, VA",37.356407,5.3,0.15899999,0.27864927,0.20896909,27395,2623.776,0.656397153,0.110859646,0.343602847,0.533382004,6823,2250,0.249060047,0.423105314,0.171866832,2375,1733,0.052030565,1.071284168,1.055419186,0.159766769,0.557811177,0.711070325
4013,AZ,2015,"Maricopa County, AZ",30.88817,5.1,0.163,0.27484572,0.24076834,4018143,436.7755,0.795807665,0.300893721,0.204192335,0.50570251,843357,595254,0.209887254,0.6816344,0.209042158,484416,189111,0.078999585,0.233423912,0.17901267,-0.072275585,0.318562057,0.164680764
24005,MD,2015,"Baltimore County, MD",38.775822,5.3,0.090999998,0.26095429,0.27107149,822959,1375.353,0.633337748,0.048170079,0.366662252,0.526807532,207518,94792,0.2521608,0.34688954,0.264618199,38788,36676,0.047126133,1.209871698,1.31378857,-0.419172228,0.601319655,0.676451924
29049,MO,2015,"Clinton County, MO",18.139711,4.9,0.104,0.22885476,0.28242272,20498,48.92612,0.952336813,0.018977461,0.047663187,0.497707093,4615,324,0.225143916,0.931401725,0.131100951,1656,200,0.119876571,-0.707319719,-0.667691716,0.414220791,-0.044068208,-0.251214713
48187,TX,2015,"Guadalupe County, TX",27.477678,3.5,0.103,0.26455489,0.25462696,143460,201.6942,0.78663042,0.366959431,0.21336958,0.506259585,31216,10243,0.217593754,0.638442055,0.09129343,9665,4259,0.053492876,0.288579362,0.325433536,0.662692885,0.544838642,0.455386106
51730,VA,2015,"Petersburg city, VA",16.333216,9.2,0.28400001,0.25145158,0.27767372,32123,1399.933,0.181489898,0.042368396,0.818510102,0.540111447,7424,1070,0.231111665,-0.575831984,0.215227334,1015,7780,0.121796761,3.925487243,4.441789248,-0.110882453,-0.061102705,2.048822833
6059,CA,2015,"Orange County, CA",38.601273,4.5,0.127,0.27497426,0.26538676,3116069,3940.413,0.632206796,0.341615991,0.367793204,0.505915947,684469,950742,0.219657845,0.351721344,0.108437863,216492,178991,0.046283789,1.216668743,1.297408887,0.555680112,0.608792302,0.919637511
12099,FL,2015,"Palm Beach County, FL",33.418381,5.1,0.13500001,0.23392618,0.26315162,1378806,699.947,0.749879969,0.203706685,0.250120031,0.516554903,292893,322167,0.212425098,0.624565856,0.255656469,116871,80469,0.120298715,0.509450383,0.372473471,-0.363234559,-0.047813157,0.117719034
24021,MD,2015,"Frederick County, MD",41.402603,4.5,0.074000001,0.25262544,0.2892758,241373,365.4682,0.814395148,0.080990832,0.185604852,0.506829679,59575,23405,0.246817167,0.695927844,0.234620116,10362,5842,0.077688544,0.121712733,0.130558287,-0.231929053,0.330192637,0.087633651
13035,GA,2015,"Butts County, GA",10.642445,6.6,0.19,0.27463919,0.27178678,23445,127.5845,0.696523779,0.029899765,0.303476221,0.468927277,4051,649,0.172787375,0.490505282,0.312868272,2272,2057,0.149977085,0.830122259,0.826935142,-0.72034136,-0.311097612,0.156404607
53033,WA,2015,"King County, WA",49.611897,4.3,0.097999997,0.32135916,0.26251927,2045756,967.0114,0.680683816,0.092781348,0.319316184,0.500966391,496039,433383,0.242472221,0.476465233,0.161557925,116426,109778,0.084442231,0.925320788,0.874530524,0.224113294,0.27027894,0.573560887
17063,IL,2015,"Grundy County, IL",21.869633,6.9,0.077,0.26423678,0.26630253,50277,120.265,0.943035583,0.089603596,0.056964417,0.501103884,11223,1876,0.223223343,0.916433628,0.129621302,4152,379,0.044761483,-0.651419119,-0.616950278,0.423456518,0.622297075,-0.055653951
48157,TX,2015,"Fort Bend County, TX",45.281879,4.3,0.07,0.27828169,0.26211512,658331,763.8703,0.525067177,0.240246927,0.474932823,0.508654461,144439,175535,0.21940179,0.080127583,0.044735409,26362,27399,0.011367162,1.860580216,2.218104294,0.953300501,0.918546692,1.487632926
33017,NH,2015,"Strafford County, NH",36.422703,3.1,0.114,0.23582806,0.26942727,125273,339.6011,0.933936283,0.020778619,0.066063717,0.512233283,32678,6585,0.260854294,0.893031486,0.302806432,11926,1071,0.027476106,-0.596732127,-0.537617658,-0.657536984,0.775640107,-0.254061665
51145,VA,2015,"Powhatan County, VA",29.003248,4,0.064000003,0.22645748,0.32947049,28207,108.388,0.850427199,0.019746871,0.149572801,0.462580211,6220,716,0.220512639,0.746680923,0.062738274,1014,238,0.014140336,-0.094840689,-0.04149326,0.840929541,0.893945149,0.399635185
18127,IN,2015,"Porter County, IN",27.809914,5.4,0.116,0.2523801,0.27882698,166570,398.4328,0.920021613,0.092279522,0.079978387,0.507966621,35393,6593,0.212481239,0.883954208,0.313939391,15665,3185,0.136858285,-0.51310465,-0.506845934,-0.727027112,-0.194717368,-0.485423766
29219,MO,2015,"Warren County, MO",17.390053,4.8,0.123,0.23340005,0.28211716,33043,77.09508,0.942438641,0.031443876,0.057561359,0.498108525,6817,733,0.206306933,0.914553085,0.41274138,3786,721,0.257498601,-0.647831483,-0.610575289,-1.34373311,-1.264948663,-0.966772136
42045,PA,2015,"Delaware County, PA",38.57703,4.9,0.104,0.2454706,0.27559984,561683,3054.746,0.709455333,0.033956876,0.290544667,0.52017063,133991,53797,0.238552707,0.528142141,0.288651756,25828,31374,0.127434877,0.752403333,0.699347222,-0.56918579,-0.111119886,0.19286122
39045,OH,2015,"Fairfield County, OH",28.109598,4.4,0.090999998,0.2469295,0.27675813,149112,295.6167,0.894401524,0.019689898,0.105598476,0.502870326,33360,4145,0.223724449,0.838566381,0.174435868,13340,1770,0.012384007,-0.359127351,-0.352982443,0.143731264,0.909525998,0.085286867
21081,KY,2015,"Grant County, KY",13.017098,5.4,0.164,0.25086924,0.26344302,24670,95.63309,0.948561005,0.024685853,0.051438995,0.503891366,4529,326,0.1835833,0.963826153,0.136438091,4076,369,0.116599551,-0.68462703,-0.777609638,0.380907229,-0.014996922,-0.27408159
6085,CA,2015,"Santa Clara County, CA",49.947025,4.2,0.082999997,0.30344149,0.25655213,1868149,1447.934,0.483047123,0.266078348,0.516952877,0.497361292,404868,704081,0.216721471,0.029687918,0.084744367,78713,96977,0.013190878,2.11312167,2.389093376,0.703571072,0.902368039,1.527038539
51036,VA,2015,"Charles City County, VA",13.872832,5.3,0.116,0.19465758,0.35635123,7118,38.9351,0.420342793,0.016718179,0.579657207,0.505198089,1661,79,0.233352065,-0.042659035,-0.00654415,340,593,0.03008637,2.489976077,2.634347565,1.2733792,0.752483777,1.787546655
25009,MA,2015,"Essex County, MA",40.216278,5,0.115,0.24041402,0.28840756,763849,1550.84,0.797969232,0.181774146,0.202030768,0.518503003,190006,117417,0.248748116,0.733437355,0.378653589,49322,36095,0.152977231,0.220432848,0.003402071,-1.130962645,-0.337712687,-0.311210103
25021,MA,2015,"Norfolk County, MA",55.340328,4.2,0.071000002,0.25097376,0.28756112,687721,1736.174,0.807158717,0.038410925,0.192841283,0.520981619,177863,109968,0.258626681,0.681809499,0.191266378,30100,14099,0.052086,0.165203842,0.178419091,0.038677947,0.557319402,0.23490507
39127,OH,2015,"Perry County, OH",11.519128,6.5,0.18799999,0.23808332,0.28608376,36025,88.2993,0.976932686,0.006995142,0.023067314,0.499375434,6542,179,0.181596114,0.968041621,0.336323717,6638,238,0.09779023,-0.855141454,-0.79189996,-0.866746443,0.151865407,-0.590480613
51033,VA,2015,"Caroline County, VA",20.67909,5.1,0.12,0.26319486,0.27379757,29349,55.6358,0.660601724,0.039626563,0.339398276,0.505502743,6998,857,0.238440833,0.366955325,0.074314599,2004,1597,0.056962364,1.046014602,1.24576611,0.768671995,0.514059921,0.893628157
39129,OH,2015,"Pickaway County, OH",18.918476,4.8,0.124,0.26404563,0.27408513,56515,112.729,0.938936566,0.012810758,0.061063434,0.47153853,11491,413,0.20332655,0.910720893,0,6273,236,-0.049829764,-0.626783934,-0.597584265,1.232531674,1.46144038,0.367400964
55079,WI,2015,"Milwaukee County, WI",30.899918,5.7,0.20299999,0.28940231,0.24200013,955939,3958.546,0.618445319,0.140295563,0.381554681,0.516910598,224890,84134,0.235255597,0.429566597,0.287055713,75954,125170,0.21469798,1.299375525,1.033515614,-0.559223549,-0.885253332,0.222103564
48231,TX,2015,"Hunt County, TX",17.046038,4.7,0.16500001,0.2372594,0.2686955,88052,104.7841,0.786989506,0.146345341,0.213010494,0.505803389,16282,5596,0.18491346,0.718458262,0.170623454,10792,5320,0.127904863,0.286421244,0.054180787,0.167527732,-0.115289251,0.098210128
37101,NC,2015,"Johnston County, NC",21.882341,5.2,0.13,0.26395011,0.26976591,178396,225.5025,0.784485078,0.13166775,0.215514922,0.508688536,38551,13403,0.216097895,0.658976009,0.239276996,17486,9600,0.124748869,0.301472911,0.255823995,-0.260996542,-0.087291614,0.052252188
12019,FL,2015,"Clay County, FL",23.932735,5,0.116,0.25064558,0.27944639,197417,326.4127,0.820086416,0.088462493,0.179913584,0.509003784,41095,13915,0.208163431,0.691011305,0.207680997,16263,4317,0.02109249,0.087508085,0.147225218,-0.063779443,0.832270806,0.250806166
